Experiment 'schedule-test', execution 1 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:20:09
Experiment 'schedule-test', execution 2 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:20:09
Experiment 'schedule-test', execution 3 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:20:09
Experiment 'schedule-test', execution 4 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:20:09
Experiment 'schedule-test', execution 5 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:20:09
Experiment 'schedule-test', execution 6 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:20:09
Experiment 'schedule-test', execution 7 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:20:09
Experiment 'schedule-test', execution 8 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:20:09
Experiment 'schedule-test', execution 9 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:20:09
Experiment 'schedule-test', execution 10 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:20:09
Experiment 'schedule-test', execution 1 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:48:18
Experiment 'schedule-test', execution 2 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:48:18
Experiment 'schedule-test', execution 3 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:48:18
Experiment 'schedule-test', execution 4 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:48:18
Experiment 'schedule-test', execution 5 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:48:18
Experiment 'schedule-test', execution 6 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:48:18
Experiment 'schedule-test', execution 7 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:48:18
Experiment 'schedule-test', execution 8 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:48:18
Experiment 'schedule-test', execution 9 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:48:18
Experiment 'schedule-test', execution 10 of gemm with dataset: MINI_DATASET, schedule: DYNAMIC, chunk_size: 128, threads: 8 start at 06/11/2020-00:48:18
